Local_Date,Local_Time,Latitude,Longitude,Altitude_m,Speed_mph,Num_Satellites
06/07/2025,10:33:01,32.727675,-117.205667,4.80,6.03,10
06/07/2025,10:37:59,32.725532,-117.214326,1.50,7.64,10
06/07/2025,10:42:59,32.715837,-117.217316,1.90,9.15,12
06/07/2025,10:47:59,32.707312,-117.225183,-1.20,9.21,11
06/07/2025,10:52:59,32.696714,-117.229606,0.10,9.31,12
06/07/2025,10:57:59,32.685454,-117.228722,0.30,9.39,12
06/07/2025,11:02:59,32.681083,-117.227141,-0.30,6.29,12
06/07/2025,11:07:59,32.673220,-117.226207,-2.00,7.03,12
06/07/2025,11:12:59,32.665050,-117.227447,-0.80,7.07,12
06/07/2025,11:17:59,32.658281,-117.231134,-1.70,4.58,12
06/07/2025,11:22:59,32.654306,-117.235268,-1.60,3.97,12
06/07/2025,11:27:59,32.650369,-117.239003,-1.10,3.79,12
06/07/2025,11:32:59,32.646619,-117.242813,0.50,4.82,12
06/07/2025,11:37:59,32.644385,-117.246853,0.40,4.93,12
06/07/2025,11:42:59,32.640304,-117.254039,-0.10,6.48,12
06/07/2025,11:47:58,32.636727,-117.260120,-0.40,5.79,10
06/07/2025,11:52:58,32.632623,-117.265901,0.90,8.07,12
06/07/2025,11:57:58,32.624254,-117.272363,-1.50,6.51,12
06/07/2025,12:02:58,32.617106,-117.279482,-0.70,8.42,11
06/07/2025,12:07:58,32.614663,-117.282586,-0.20,6.26,12
06/07/2025,12:12:58,32.621514,-117.278765,1.40,5.52,11
06/07/2025,12:17:58,32.627595,-117.273263,-0.70,6.25,12
06/07/2025,12:22:58,32.632656,-117.265580,-0.70,6.66,12
06/07/2025,12:27:58,32.637417,-117.257362,0.70,6.74,11
06/07/2025,12:32:58,32.643170,-117.251571,-0.40,6.08,11
06/07/2025,12:37:58,32.649311,-117.246508,-0.10,6.78,10
06/07/2025,12:42:58,32.654880,-117.239950,0.80,5.36,10
06/07/2025,12:47:58,32.661024,-117.233503,-0.30,6.93,10
06/07/2025,12:52:58,32.667803,-117.231692,0.70,4.82,10
06/07/2025,12:57:58,32.673859,-117.230323,1.70,6.20,10
06/07/2025,13:02:58,32.680907,-117.229404,0.70,7.08,11
06/07/2025,13:07:58,32.687556,-117.228381,-0.80,2.74,12
06/07/2025,13:12:58,32.692727,-117.229649,0.10,5.07,10
06/07/2025,13:17:58,32.699962,-117.232156,0.50,7.03,9
06/07/2025,13:22:58,32.705922,-117.229150,1.00,1.10,12
06/07/2025,13:27:58,32.711376,-117.224920,1.60,6.48,12
06/07/2025,13:32:58,32.716088,-117.219103,2.30,6.28,12
06/07/2025,13:37:58,32.718964,-117.212686,2.00,4.87,12
06/07/2025,13:42:58,32.720611,-117.206591,2.00,6.00,12
06/07/2025,13:47:58,32.723466,-117.200566,0.70,4.28,11
06/07/2025,13:52:58,32.722789,-117.196009,-1.70,3.76,12
06/07/2025,13:57:58,32.719343,-117.191455,-1.20,4.35,12
06/07/2025,14:02:58,32.716581,-117.186344,-0.60,4.22,12
06/07/2025,14:07:58,32.713503,-117.180979,0.10,4.78,12
06/07/2025,14:12:57,32.710181,-117.176254,0.20,4.10,12
06/07/2025,14:17:57,32.706891,-117.171655,-0.20,4.02,12
06/07/2025,14:22:57,32.703735,-117.167286,-1.20,3.71,12
06/07/2025,14:27:57,32.700405,-117.162532,-1.10,4.13,11
06/07/2025,14:32:57,32.696733,-117.158658,-0.40,3.43,12
06/07/2025,14:37:57,32.693035,-117.155236,-1.90,4.12,12
06/07/2025,14:42:57,32.689097,-117.151542,-0.60,4.44,11
06/07/2025,14:47:57,32.689749,-117.152370,-0.90,2.08,12
06/07/2025,14:52:57,32.694190,-117.158136,-0.60,7.83,12
06/07/2025,14:57:57,32.700548,-117.165575,-1.10,7.47,11
06/07/2025,15:02:57,32.706779,-117.173051,0.00,7.30,12
06/07/2025,15:07:57,32.712646,-117.181052,0.10,7.54,11
06/07/2025,15:12:57,32.716437,-117.190751,-1.00,7.66,11
06/07/2025,15:17:57,32.717807,-117.201440,-2.10,7.58,11
06/07/2025,15:22:57,32.719822,-117.211982,-3.80,7.88,10
06/07/2025,15:27:57,32.726600,-117.213624,-1.00,3.98,10
06/07/2025,15:32:57,32.727642,-117.205578,0.60,5.77,9
06/07/2025,15:37:57,32.727298,-117.203307,4.90,0.09,9
06/07/2025,15:42:57,32.727253,-117.203425,-2.80,0.05,9
